Role,Location,Job Site,Results
Data Specialist,On-Site,LinkedIn,29
Data Clerk,On-Site,LinkedIn,0
Data Coordinator,On-Site,LinkedIn,1
Data Steward,On-Site,LinkedIn,0
Data Assistant,On-Site,LinkedIn,0
Data Entry,On-Site,LinkedIn,1
Data Specialist,Remote,LinkedIn,190
Data Clerk,Remote,LinkedIn,2
Data Coordinator,Remote,LinkedIn,4
Data Steward,Remote,LinkedIn,74
Data Assistant,Remote,LinkedIn,7
Data Entry,Remote,LinkedIn,18
Data Specialist,On-Site,Indeed,27
Data Clerk,On-Site,Indeed,25
Data Coordinator,On-Site,Indeed,4
Data Steward,On-Site,Indeed,5
Data Assistant,On-Site,Indeed,5
Data Entry,On-Site,Indeed,75
Data Specialist,Remote,Indeed,600
Data Clerk,Remote,Indeed,25
Data Coordinator,Remote,Indeed,25
Data Steward,Remote,Indeed,100
Data Assistant,Remote,Indeed,100
Data Entry,Remote,Indeed,200
Data Specialist,On-Site,Glassdoor,33
Data Clerk,On-Site,Glassdoor,12
Data Coordinator,On-Site,Glassdoor,10
Data Steward,On-Site,Glassdoor,72
Data Assistant,On-Site,Glassdoor,1
Data Entry,On-Site,Glassdoor,69
Data Specialist,Remote,Glassdoor,94
Data Clerk,Remote,Glassdoor,8
Data Coordinator,Remote,Glassdoor,10
Data Steward,Remote,Glassdoor,124
Data Assistant,Remote,Glassdoor,4
Data Entry,Remote,Glassdoor,10
Data Specialist,On-Site,Monster,52
Data Clerk,On-Site,Monster,2
Data Coordinator,On-Site,Monster,15
Data Steward,On-Site,Monster,0
Data Assistant,On-Site,Monster,0
Data Entry,On-Site,Monster,100
Data Specialist,Remote,Monster,100
Data Clerk,Remote,Monster,2
Data Coordinator,Remote,Monster,105
Data Steward,Remote,Monster,1
Data Assistant,Remote,Monster,3
Data Entry,Remote,Monster,128
Data Specialist,On-Site,Datajobs,23
Data Clerk,On-Site,Datajobs,23
Data Coordinator,On-Site,Datajobs,23
Data Steward,On-Site,Datajobs,23
Data Assistant,On-Site,Datajobs,23
Data Entry,On-Site,Datajobs,23
Data Specialist,Remote,Datajobs,540
Data Clerk,Remote,Datajobs,540
Data Coordinator,Remote,Datajobs,540
Data Steward,Remote,Datajobs,540
Data Assistant,Remote,Datajobs,540
Data Entry,Remote,Datajobs,540
Data Specialist,On-Site,Flexjobs,20
Data Clerk,On-Site,Flexjobs,16
Data Coordinator,On-Site,Flexjobs,15
Data Steward,On-Site,Flexjobs,12
Data Assistant,On-Site,Flexjobs,15
Data Entry,On-Site,Flexjobs,14
Data Specialist,Remote,Flexjobs,434
Data Clerk,Remote,Flexjobs,468
Data Coordinator,Remote,Flexjobs,427
Data Steward,Remote,Flexjobs,397
Data Assistant,Remote,Flexjobs,482
Data Entry,Remote,Flexjobs,517
Data Specialist,On-Site,Findadatajob,6
Data Clerk,On-Site,Findadatajob,0
Data Coordinator,On-Site,Findadatajob,0
Data Steward,On-Site,Findadatajob,0
Data Assistant,On-Site,Findadatajob,0
Data Entry,On-Site,Findadatajob,0
Data Specialist,Remote,Findadatajob,3
Data Clerk,Remote,Findadatajob,0
Data Coordinator,Remote,Findadatajob,0
Data Steward,Remote,Findadatajob,2
Data Assistant,Remote,Findadatajob,0
Data Entry,Remote,Findadatajob,1
